class_label,name,protein,additional,
chicken_wings,Chicken Wings,30.5,6.4/wings
steak,Steak,25
pork_chop,Pork Chop,24,52/chop
grilled_salmon,Grilled Salmon,25
hot_dog,Hot Dog,10,5/hotdog
hamburger,Hamburger,14,20/burger
fish_and_chips,Fish and Chips,14


